Horizon_Hari,Model,Split,Decision_Rule,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score,POD,FAR,CSI,AUROC
7,Baseline_R10_ge_50,test,R10 >= 50.0 mm,50.0,1210,737,130,106,0.6028,0.1257,0.4492,0.1965,0.4492,0.8743,0.1089,
10,Baseline_R1_ge_50,validation,R1 >= 50.0 mm,50.0,1949,19,216,7,0.8927,0.2692,0.0314,0.0562,0.0314,0.7308,0.0289,
10,Baseline_R1_ge_50,test,R1 >= 50.0 mm,50.0,1814,34,334,1,0.8314,0.0286,0.003,0.0054,0.003,0.9714,0.0027,
10,Baseline_R3_ge_50,validation,R3 >= 50.0 mm,50.0,1829,139,198,25,0.8462,0.1524,0.1121,0.1292,0.1121,0.8476,0.0691,
10,Baseline_R3_ge_50,test,R3 >= 50.0 mm,50.0,1700,148,313,22,0.7888,0.1294,0.0657,0.0871,0.0657,0.8706,0.0455,
10,Baseline_R5_ge_50,validation,R5 >= 50.0 mm,50.0,1680,288,172,51,0.7901,0.1504,0.2287,0.1815,0.2287,0.8496,0.0998,
10,Baseline_R5_ge_50,test,R5 >= 50.0 mm,50.0,1549,299,272,63,0.7384,0.174,0.1881,0.1808,0.1881,0.826,0.0994,
10,Baseline_R7_ge_50,validation,R7 >= 50.0 mm,50.0,1520,448,146,77,0.7289,0.1467,0.3453,0.2059,0.3453,0.8533,0.1148,
10,Baseline_R7_ge_50,test,R7 >= 50.0 mm,50.0,1385,463,232,103,0.6816,0.182,0.3075,0.2286,0.3075,0.818,0.1291,
10,Baseline_R10_ge_50,validation,R10 >= 50.0 mm,50.0,1269,699,98,125,0.6362,0.1517,0.5605,0.2388,0.5605,0.8483,0.1356,
10,Baseline_R10_ge_50,test,R10 >= 50.0 mm,50.0,1154,694,186,149,0.5969,0.1767,0.4448,0.253,0.4448,0.8233,0.1448,
