Tanggal_Observasi,Rainfall,Tahun,Bulan,Tanggal,Dasarian_Ke_Bulan,Dasarian_Tahunan,R1,R3,R5,R7,R10
1995-05-16,0.0,1995,5,16,2,14,0.0,5.0,5.0,5.0,13.0
1995-05-17,0.0,1995,5,17,2,14,0.0,5.0,5.0,5.0,13.0
1995-05-18,0.0,1995,5,18,2,14,0.0,0.0,5.0,5.0,13.0
1995-05-19,5.0,1995,5,19,2,14,5.0,5.0,10.0,10.0,10.0
1995-05-20,0.0,1995,5,20,2,14,0.0,5.0,5.0,10.0,10.0
1995-05-21,34.0,1995,5,21,3,15,34.0,39.0,39.0,44.0,44.0
1995-05-22,0.0,1995,5,22,3,15,0.0,34.0,39.0,39.0,44.0
1995-05-23,0.0,1995,5,23,3,15,0.0,34.0,39.0,39.0,44.0
1995-05-24,0.0,1995,5,24,3,15,0.0,0.0,34.0,39.0,44.0
1995-05-25,0.0,1995,5,25,3,15,0.0,0.0,34.0,39.0,39.0
1995-05-26,0.0,1995,5,26,3,15,0.0,0.0,0.0,34.0,39.0
1995-05-27,0.0,1995,5,27,3,15,0.0,0.0,0.0,34.0,39.0
1995-05-28,0.0,1995,5,28,3,15,0.0,0.0,0.0,0.0,39.0
1995-05-29,0.0,1995,5,29,3,15,0.0,0.0,0.0,0.0,34.0
1995-05-30,0.0,1995,5,30,3,15,0.0,0.0,0.0,0.0,34.0
1995-05-31,0.0,1995,5,31,3,15,0.0,0.0,0.0,0.0,0.0
1995-06-01,4.0,1995,6,1,1,16,4.0,4.0,4.0,4.0,4.0
1995-06-02,0.0,1995,6,2,1,16,0.0,4.0,4.0,4.0,4.0
1995-06-03,0.0,1995,6,3,1,16,0.0,4.0,4.0,4.0,4.0
1995-06-04,0.0,1995,6,4,1,16,0.0,0.0,4.0,4.0,4.0
1995-06-05,0.0,1995,6,5,1,16,0.0,0.0,4.0,4.0,4.0
1995-06-06,0.0,1995,6,6,1,16,0.0,0.0,0.0,4.0,4.0
1995-06-07,0.0,1995,6,7,1,16,0.0,0.0,0.0,4.0,4.0
1995-06-08,0.0,1995,6,8,1,16,0.0,0.0,0.0,0.0,4.0
1995-06-09,25.0,1995,6,9,1,16,25.0,25.0,25.0,25.0,29.0
1995-06-10,0.0,1995,6,10,1,16,0.0,25.0,25.0,25.0,29.0
1995-06-11,0.0,1995,6,11,2,17,0.0,25.0,25.0,25.0,25.0
1995-06-12,0.0,1995,6,12,2,17,0.0,0.0,25.0,25.0,25.0
1995-06-13,0.0,1995,6,13,2,17,0.0,0.0,25.0,25.0,25.0
1995-06-14,0.0,1995,6,14,2,17,0.0,0.0,0.0,25.0,25.0
1995-06-15,0.0,1995,6,15,2,17,0.0,0.0,0.0,25.0,25.0
1995-06-16,0.0,1995,6,16,2,17,0.0,0.0,0.0,0.0,25.0
1995-06-17,0.0,1995,6,17,2,17,0.0,0.0,0.0,0.0,25.0
1995-06-18,1.0,1995,6,18,2,17,1.0,1.0,1.0,1.0,26.0
1995-06-19,37.0,1995,6,19,2,17,37.0,38.0,38.0,38.0,38.0
1995-06-20,2.0,1995,6,20,2,17,2.0,40.0,40.0,40.0,40.0
1995-06-21,0.0,1995,6,21,3,18,0.0,39.0,40.0,40.0,40.0
1995-06-22,0.0,1995,6,22,3,18,0.0,2.0,40.0,40.0,40.0
1995-06-23,0.0,1995,6,23,3,18,0.0,0.0,39.0,40.0,40.0
1995-06-24,0.0,1995,6,24,3,18,0.0,0.0,2.0,40.0,40.0
1995-06-25,3.0,1995,6,25,3,18,3.0,3.0,3.0,42.0,43.0
1995-06-26,0.0,1995,6,26,3,18,0.0,3.0,3.0,5.0,43.0
1995-06-27,0.0,1995,6,27,3,18,0.0,3.0,3.0,3.0,43.0
1995-06-28,20.0,1995,6,28,3,18,20.0,20.0,23.0,23.0,62.0
1995-06-29,0.0,1995,6,29,3,18,0.0,20.0,23.0,23.0,25.0
1995-06-30,0.0,1995,6,30,3,18,0.0,20.0,20.0,23.0,23.0
1995-07-01,0.0,1995,7,1,1,19,0.0,0.0,20.0,23.0,23.0
1995-07-02,0.0,1995,7,2,1,19,0.0,0.0,20.0,20.0,23.0
1995-07-03,7.0,1995,7,3,1,19,7.0,7.0,7.0,27.0,30.0
1995-07-04,0.0,1995,7,4,1,19,0.0,7.0,7.0,27.0,30.0
1995-07-05,37.0,1995,7,5,1,19,37.0,44.0,44.0,44.0,64.0
1995-07-06,20.0,1995,7,6,1,19,20.0,57.0,64.0,64.0,84.0
1995-07-07,0.0,1995,7,7,1,19,0.0,57.0,64.0,64.0,84.0
1995-07-08,6.0,1995,7,8,1,19,6.0,26.0,63.0,70.0,70.0
1995-07-09,0.0,1995,7,9,1,19,0.0,6.0,63.0,70.0,70.0
1995-07-10,0.0,1995,7,10,1,19,0.0,6.0,26.0,63.0,70.0
1995-07-11,0.0,1995,7,11,2,20,0.0,0.0,6.0,63.0,70.0
1995-07-12,0.0,1995,7,12,2,20,0.0,0.0,6.0,26.0,70.0
1995-07-13,3.0,1995,7,13,2,20,3.0,3.0,3.0,9.0,66.0
1995-07-14,1.0,1995,7,14,2,20,1.0,4.0,4.0,10.0,67.0
1995-07-15,15.0,1995,7,15,2,20,15.0,19.0,19.0,19.0,45.0
1995-07-16,2.0,1995,7,16,2,20,2.0,18.0,21.0,21.0,27.0
1995-07-17,0.0,1995,7,17,2,20,0.0,17.0,21.0,21.0,27.0
1995-07-18,0.0,1995,7,18,2,20,0.0,2.0,18.0,21.0,21.0
1995-07-19,0.0,1995,7,19,2,20,0.0,0.0,17.0,21.0,21.0
1995-07-20,19.0,1995,7,20,2,20,19.0,19.0,21.0,37.0,40.0
1995-07-21,39.0,1995,7,21,3,21,39.0,58.0,58.0,75.0,79.0
1995-07-22,2.0,1995,7,22,3,21,2.0,60.0,60.0,62.0,81.0
1995-07-23,0.0,1995,7,23,3,21,0.0,41.0,60.0,60.0,78.0
1995-07-24,0.0,1995,7,24,3,21,0.0,2.0,60.0,60.0,77.0
1995-07-25,1.0,1995,7,25,3,21,1.0,1.0,42.0,61.0,63.0
1995-07-26,0.0,1995,7,26,3,21,0.0,1.0,3.0,61.0,61.0
1995-07-27,0.0,1995,7,27,3,21,0.0,1.0,1.0,42.0,61.0
1995-07-28,14.0,1995,7,28,3,21,14.0,14.0,15.0,17.0,75.0
1995-07-29,0.0,1995,7,29,3,21,0.0,14.0,15.0,15.0,75.0
1995-07-30,0.0,1995,7,30,3,21,0.0,14.0,14.0,15.0,56.0
1995-07-31,0.0,1995,7,31,3,21,0.0,0.0,14.0,15.0,17.0
1995-08-01,0.0,1995,8,1,1,22,0.0,0.0,14.0,14.0,15.0
1995-08-02,0.0,1995,8,2,1,22,0.0,0.0,0.0,14.0,15.0
1995-08-03,0.0,1995,8,3,1,22,0.0,0.0,0.0,14.0,15.0
1995-08-04,0.0,1995,8,4,1,22,0.0,0.0,0.0,0.0,14.0
1995-08-05,0.0,1995,8,5,1,22,0.0,0.0,0.0,0.0,14.0
1995-08-06,0.0,1995,8,6,1,22,0.0,0.0,0.0,0.0,14.0
1995-08-07,0.0,1995,8,7,1,22,0.0,0.0,0.0,0.0,0.0
1995-08-08,0.0,1995,8,8,1,22,0.0,0.0,0.0,0.0,0.0
1995-08-09,21.0,1995,8,9,1,22,21.0,21.0,21.0,21.0,21.0
1995-08-10,0.0,1995,8,10,1,22,0.0,21.0,21.0,21.0,21.0
1995-08-11,0.0,1995,8,11,2,23,0.0,21.0,21.0,21.0,21.0
1995-08-12,0.0,1995,8,12,2,23,0.0,0.0,21.0,21.0,21.0
1995-08-13,0.0,1995,8,13,2,23,0.0,0.0,21.0,21.0,21.0
1995-08-14,0.0,1995,8,14,2,23,0.0,0.0,0.0,21.0,21.0
1995-08-15,0.0,1995,8,15,2,23,0.0,0.0,0.0,21.0,21.0
1995-08-16,0.0,1995,8,16,2,23,0.0,0.0,0.0,0.0,21.0
1995-08-17,0.0,1995,8,17,2,23,0.0,0.0,0.0,0.0,21.0
1995-08-18,0.0,1995,8,18,2,23,0.0,0.0,0.0,0.0,21.0
1995-08-19,0.0,1995,8,19,2,23,0.0,0.0,0.0,0.0,0.0
1995-08-20,0.0,1995,8,20,2,23,0.0,0.0,0.0,0.0,0.0
1995-08-21,0.0,1995,8,21,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-22,0.0,1995,8,22,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-23,0.0,1995,8,23,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-24,0.0,1995,8,24,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-25,0.0,1995,8,25,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-26,0.0,1995,8,26,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-27,0.0,1995,8,27,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-28,0.0,1995,8,28,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-29,0.0,1995,8,29,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-30,0.0,1995,8,30,3,24,0.0,0.0,0.0,0.0,0.0
1995-08-31,1.0,1995,8,31,3,24,1.0,1.0,1.0,1.0,1.0
1995-09-01,0.0,1995,9,1,1,25,0.0,1.0,1.0,1.0,1.0
1995-09-02,0.0,1995,9,2,1,25,0.0,1.0,1.0,1.0,1.0
1995-09-03,0.0,1995,9,3,1,25,0.0,0.0,1.0,1.0,1.0
1995-09-04,7.0,1995,9,4,1,25,7.0,7.0,8.0,8.0,8.0
1995-09-05,2.0,1995,9,5,1,25,2.0,9.0,9.0,10.0,10.0
1995-09-06,0.0,1995,9,6,1,25,0.0,9.0,9.0,10.0,10.0
1995-09-07,0.0,1995,9,7,1,25,0.0,2.0,9.0,9.0,10.0
1995-09-08,0.0,1995,9,8,1,25,0.0,0.0,9.0,9.0,10.0
1995-09-09,1.0,1995,9,9,1,25,1.0,1.0,3.0,10.0,11.0
1995-09-10,0.0,1995,9,10,1,25,0.0,1.0,1.0,10.0,10.0
1995-09-11,0.0,1995,9,11,2,26,0.0,1.0,1.0,3.0,10.0
1995-09-12,0.0,1995,9,12,2,26,0.0,0.0,1.0,1.0,10.0
1995-09-13,0.0,1995,9,13,2,26,0.0,0.0,1.0,1.0,10.0
1995-09-14,0.0,1995,9,14,2,26,0.0,0.0,0.0,1.0,3.0
1995-09-15,0.0,1995,9,15,2,26,0.0,0.0,0.0,1.0,1.0
1995-09-16,0.0,1995,9,16,2,26,0.0,0.0,0.0,0.0,1.0
1995-09-17,0.0,1995,9,17,2,26,0.0,0.0,0.0,0.0,1.0
1995-09-18,0.0,1995,9,18,2,26,0.0,0.0,0.0,0.0,1.0
1995-09-19,0.0,1995,9,19,2,26,0.0,0.0,0.0,0.0,0.0
1995-09-20,0.0,1995,9,20,2,26,0.0,0.0,0.0,0.0,0.0
1995-09-21,0.0,1995,9,21,3,27,0.0,0.0,0.0,0.0,0.0
1995-09-22,0.0,1995,9,22,3,27,0.0,0.0,0.0,0.0,0.0
1995-09-23,0.0,1995,9,23,3,27,0.0,0.0,0.0,0.0,0.0
1995-09-24,0.0,1995,9,24,3,27,0.0,0.0,0.0,0.0,0.0
1995-09-25,27.0,1995,9,25,3,27,27.0,27.0,27.0,27.0,27.0
1995-09-26,0.0,1995,9,26,3,27,0.0,27.0,27.0,27.0,27.0
1995-09-27,0.0,1995,9,27,3,27,0.0,27.0,27.0,27.0,27.0
1995-09-28,0.0,1995,9,28,3,27,0.0,0.0,27.0,27.0,27.0
1995-09-29,12.0,1995,9,29,3,27,12.0,12.0,39.0,39.0,39.0
1995-09-30,10.0,1995,9,30,3,27,10.0,22.0,22.0,49.0,49.0
1995-10-01,0.0,1995,10,1,1,28,0.0,22.0,22.0,49.0,49.0
1995-10-02,0.0,1995,10,2,1,28,0.0,10.0,22.0,22.0,49.0
1995-10-03,0.0,1995,10,3,1,28,0.0,0.0,22.0,22.0,49.0
1995-10-04,0.0,1995,10,4,1,28,0.0,0.0,10.0,22.0,49.0
1995-10-05,10.0,1995,10,5,1,28,10.0,10.0,10.0,32.0,32.0
1995-10-06,0.0,1995,10,6,1,28,0.0,10.0,10.0,20.0,32.0
1995-10-07,0.0,1995,10,7,1,28,0.0,10.0,10.0,10.0,32.0
1995-10-08,3.0,1995,10,8,1,28,3.0,3.0,13.0,13.0,35.0
1995-10-09,0.0,1995,10,9,1,28,0.0,3.0,13.0,13.0,23.0
1995-10-10,9.0,1995,10,10,1,28,9.0,12.0,12.0,22.0,22.0
1995-10-11,4.0,1995,10,11,2,29,4.0,13.0,16.0,26.0,26.0
1995-10-12,0.0,1995,10,12,2,29,0.0,13.0,16.0,16.0,26.0
1995-10-13,0.0,1995,10,13,2,29,0.0,4.0,13.0,16.0,26.0
1995-10-14,0.0,1995,10,14,2,29,0.0,0.0,13.0,16.0,26.0
1995-10-15,2.0,1995,10,15,2,29,2.0,2.0,6.0,15.0,18.0
1995-10-16,0.0,1995,10,16,2,29,0.0,2.0,2.0,15.0,18.0
1995-10-17,5.0,1995,10,17,2,29,5.0,7.0,7.0,11.0,23.0
1995-10-18,4.0,1995,10,18,2,29,4.0,9.0,11.0,11.0,24.0
1995-10-19,17.0,1995,10,19,2,29,17.0,26.0,28.0,28.0,41.0
1995-10-20,0.0,1995,10,20,2,29,0.0,21.0,26.0,28.0,32.0
1995-10-21,0.0,1995,10,21,3,30,0.0,17.0,26.0,28.0,28.0
1995-10-22,0.0,1995,10,22,3,30,0.0,0.0,21.0,26.0,28.0
1995-10-23,0.0,1995,10,23,3,30,0.0,0.0,17.0,26.0,28.0
1995-10-24,0.0,1995,10,24,3,30,0.0,0.0,0.0,21.0,28.0
1995-10-25,0.0,1995,10,25,3,30,0.0,0.0,0.0,17.0,26.0
1995-10-26,17.0,1995,10,26,3,30,17.0,17.0,17.0,17.0,43.0
1995-10-27,0.0,1995,10,27,3,30,0.0,17.0,17.0,17.0,38.0
1995-10-28,2.0,1995,10,28,3,30,2.0,19.0,19.0,19.0,36.0
1995-10-29,17.0,1995,10,29,3,30,17.0,19.0,36.0,36.0,36.0
1995-10-30,0.0,1995,10,30,3,30,0.0,19.0,36.0,36.0,36.0
1995-10-31,0.0,1995,10,31,3,30,0.0,17.0,19.0,36.0,36.0
1995-11-01,5.0,1995,11,1,1,31,5.0,5.0,24.0,41.0,41.0
1995-11-02,0.0,1995,11,2,1,31,0.0,5.0,22.0,24.0,41.0
1995-11-03,0.0,1995,11,3,1,31,0.0,5.0,5.0,24.0,41.0
1995-11-04,0.0,1995,11,4,1,31,0.0,0.0,5.0,22.0,41.0
1995-11-05,2.0,1995,11,5,1,31,2.0,2.0,7.0,7.0,26.0
1995-11-06,0.0,1995,11,6,1,31,0.0,2.0,2.0,7.0,26.0
1995-11-07,0.0,1995,11,7,1,31,0.0,2.0,2.0,7.0,24.0
1995-11-08,26.0,1995,11,8,1,31,26.0,26.0,28.0,28.0,33.0
1995-11-09,1.0,1995,11,9,1,31,1.0,27.0,29.0,29.0,34.0
1995-11-10,0.0,1995,11,10,1,31,0.0,27.0,27.0,29.0,34.0
1995-11-11,0.0,1995,11,11,2,32,0.0,1.0,27.0,29.0,29.0
1995-11-12,2.0,1995,11,12,2,32,2.0,2.0,29.0,29.0,31.0
1995-11-13,2.0,1995,11,13,2,32,2.0,4.0,5.0,31.0,33.0
1995-11-14,5.0,1995,11,14,2,32,5.0,9.0,9.0,36.0,38.0
1995-11-15,0.0,1995,11,15,2,32,0.0,7.0,9.0,10.0,36.0
1995-11-16,2.0,1995,11,16,2,32,2.0,7.0,11.0,11.0,38.0
1995-11-17,2.0,1995,11,17,2,32,2.0,4.0,11.0,13.0,40.0
1995-11-18,0.0,1995,11,18,2,32,0.0,4.0,9.0,13.0,14.0
1995-11-19,0.0,1995,11,19,2,32,0.0,2.0,4.0,11.0,13.0
1995-11-20,0.0,1995,11,20,2,32,0.0,0.0,4.0,9.0,13.0
1995-11-21,1.0,1995,11,21,3,33,1.0,1.0,3.0,5.0,14.0
1995-11-22,9.0,1995,11,22,3,33,9.0,10.0,10.0,14.0,21.0
1995-11-23,0.0,1995,11,23,3,33,0.0,10.0,10.0,12.0,19.0
1995-11-24,0.0,1995,11,24,3,33,0.0,9.0,10.0,10.0,14.0
1995-11-25,80.0,1995,11,25,3,33,80.0,80.0,90.0,90.0,94.0
