Tahun,Dasarian_Tahunan,Curah_Hujan_Dasarian,Jumlah_Data_Tersedia,Jumlah_Hari,Persentase_Kelengkapan
1999,16,9.4,10,10,100.0
1999,17,26.599999999999998,10,10,100.0
1999,18,17.4,10,10,100.0
1999,19,38.8,10,10,100.0
1999,20,9.7,10,10,100.0
1999,21,6.0,11,11,100.0
1999,22,10.0,10,10,100.0
1999,23,4.6,10,10,100.0
1999,24,0.0,11,11,100.0
1999,25,0.0,10,10,100.0
1999,26,0.2,10,10,100.0
1999,27,20.0,10,10,100.0
1999,28,4.4,10,10,100.0
1999,29,36.1,10,10,100.0
1999,30,242.3,11,11,100.0
1999,31,44.7,10,10,100.0
1999,32,23.299999999999997,10,10,100.0
1999,33,7.699999999999999,10,10,100.0
1999,34,32.800000000000004,10,10,100.0
1999,35,102.8,10,10,100.0
1999,36,112.60000000000001,11,11,100.0
2000,1,63.6,10,10,100.0
2000,2,172.5,10,10,100.0
2000,3,147.1,11,11,100.0
2000,4,202.2,10,10,100.0
2000,5,87.8,10,10,100.0
2000,6,10.4,9,9,100.0
2000,7,24.9,10,10,100.0
2000,8,22.2,10,10,100.0
2000,9,47.900000000000006,11,11,100.0
2000,10,20.0,10,10,100.0
2000,11,1.0,10,10,100.0
2000,12,106.0,10,10,100.0
2000,13,49.0,10,10,100.0
2000,14,57.0,10,10,100.0
2000,15,23.0,11,11,100.0
2000,16,23.0,10,10,100.0
2000,17,3.0,10,10,100.0
2000,18,3.0,10,10,100.0
2000,19,42.0,10,10,100.0
2000,20,37.0,10,10,100.0
2000,21,22.0,11,11,100.0
2000,22,0.0,10,10,100.0
2000,23,2.0,10,10,100.0
2000,24,20.0,11,11,100.0
2000,25,2.0,10,10,100.0
2000,26,0.0,10,10,100.0
2000,27,22.0,10,10,100.0
2000,28,46.0,10,10,100.0
2000,29,37.0,10,10,100.0
2000,30,34.0,11,11,100.0
2000,31,12.0,10,10,100.0
2000,32,55.0,10,10,100.0
2000,33,67.0,10,10,100.0
2000,34,11.0,10,10,100.0
2000,35,32.0,10,10,100.0
2000,36,29.0,11,11,100.0
2001,1,88.0,10,10,100.0
2001,2,39.0,10,10,100.0
2001,3,93.0,11,11,100.0
2001,4,177.0,10,10,100.0
2001,5,113.0,10,10,100.0
2001,6,40.0,8,8,100.0
2001,7,48.0,10,10,100.0
2001,8,43.0,10,10,100.0
2001,9,52.0,11,11,100.0
2001,10,15.0,10,10,100.0
2001,11,56.0,10,10,100.0
2001,12,14.0,10,10,100.0
2001,13,23.0,10,10,100.0
2001,14,1.0,10,10,100.0
2001,15,38.0,11,11,100.0
2001,16,93.0,10,10,100.0
2001,17,36.0,10,10,100.0
2001,18,35.0,10,10,100.0
2001,19,0.0,10,10,100.0
2001,20,71.0,10,10,100.0
2001,21,16.0,11,11,100.0
2001,22,48.0,10,10,100.0
2001,23,0.0,10,10,100.0
2001,24,1.0,11,11,100.0
2001,25,64.0,10,10,100.0
2001,26,9.0,10,10,100.0
2001,27,23.0,10,10,100.0
2001,28,74.0,10,10,100.0
2001,29,43.0,10,10,100.0
2001,30,19.0,11,11,100.0
2001,31,18.0,10,10,100.0
2001,32,121.0,10,10,100.0
2001,33,51.0,10,10,100.0
2001,34,11.0,10,10,100.0
2001,35,37.0,10,10,100.0
2001,36,26.0,11,11,100.0
2002,1,13.0,10,10,100.0
2002,2,72.0,10,10,100.0
2002,3,216.0,11,11,100.0
2002,4,154.0,10,10,100.0
2002,5,164.0,10,10,100.0
2002,6,30.0,8,8,100.0
2002,7,31.0,10,10,100.0
2002,8,23.0,10,10,100.0
2002,9,64.0,11,11,100.0
2002,10,167.0,10,10,100.0
2002,11,51.0,10,10,100.0
2002,12,42.0,10,10,100.0
2002,13,70.0,10,10,100.0
2002,14,12.0,10,10,100.0
2002,15,6.0,11,11,100.0
2002,16,29.0,10,10,100.0
2002,17,55.0,10,10,100.0
2002,18,2.0,10,10,100.0
2002,19,19.0,10,10,100.0
2002,20,72.0,10,10,100.0
2002,21,34.0,11,11,100.0
2002,22,2.0,10,10,100.0
2002,23,1.0,10,10,100.0
2002,24,0.0,11,11,100.0
2002,25,0.0,10,10,100.0
2002,26,0.0,10,10,100.0
2002,27,5.0,10,10,100.0
2002,28,8.0,10,10,100.0
2002,29,0.0,10,10,100.0
2002,30,0.0,11,11,100.0
2002,31,2.0,10,10,100.0
2002,32,9.0,10,10,100.0
2002,33,86.0,10,10,100.0
2002,34,40.0,10,10,100.0
2002,35,41.0,10,10,100.0
2002,36,54.0,11,11,100.0
2003,1,3.0,10,10,100.0
2003,2,0.0,10,10,100.0
2003,3,80.0,11,11,100.0
2003,4,37.0,10,10,100.0
2003,5,111.0,10,10,100.0
2003,6,105.0,8,8,100.0
2003,7,20.0,10,10,100.0
2003,8,86.0,10,10,100.0
2003,9,22.0,11,11,100.0
2003,10,18.0,10,10,100.0
2003,11,5.0,10,10,100.0
2003,12,24.0,10,10,100.0
2003,13,39.0,10,10,100.0
2003,14,10.0,10,10,100.0
2003,15,29.0,11,11,100.0
2003,16,5.0,10,10,100.0
2003,17,1.0,10,10,100.0
2003,18,5.0,10,10,100.0
2003,19,0.0,10,10,100.0
2003,20,50.0,10,10,100.0
2003,21,0.0,11,11,100.0
2003,22,0.0,10,10,100.0
2003,23,0.5,10,10,100.0
