Komponen,Jumlah,Keterangan
TN,2156,Tidak hujan lebat diprediksi tidak hujan lebat
FP,1,Tidak hujan lebat diprediksi hujan lebat
FN,35,Hujan lebat tidak terdeteksi
TP,0,Hujan lebat berhasil terdeteksi
