Komponen,Jumlah,Keterangan
TN,2132,Tidak hujan lebat diprediksi tidak hujan lebat
FP,25,Tidak hujan lebat diprediksi hujan lebat
FN,35,Hujan lebat tidak terdeteksi
TP,0,Hujan lebat berhasil terdeteksi
