Tahun,Tipologi,Total_Curah_Hujan_Tahunan
1996,1,2353.0
1997,1,1111.0
1999,1,1779.0
2000,1,1533.6
2001,1,1636.0
2003,1,1176.7
2004,1,1390.0
2005,1,1758.8
2006,1,1248.0
2007,1,1493.0
2008,1,1536.2
2009,1,1386.2
2011,1,1141.8
2012,1,1197.2
2014,1,1519.5
2015,1,1310.1
2016,1,1811.4
2018,1,1364.1
2019,1,1254.1
2021,1,1827.2
2022,1,1720.2
1995,2,2128.0
1998,2,1799.3
2002,2,1574.0
2010,2,2137.2
2013,2,2298.5
2017,2,1803.7
2020,2,1998.7
2023,2,1392.1
2024,2,2212.6
