Model,Class_Weight_Mode,Epoch_Terpakai,Decision_Threshold,Val_POD,Val_FAR,Val_CSI,Val_AUROC,Val_TP,Val_FP,Val_FN,Val_TN,Test_POD,Test_FAR,Test_CSI,Test_AUROC,Test_Accuracy,Test_F1,Test_TP,Test_FP,Test_FN,Test_TN
CNN_seq14_aux_none,none,55,0.04,0.1154,0.9423,0.04,0.6981,3,49,23,2116,0.0857,0.9583,0.0288,0.6665,0.9539,0.0561,3,69,32,2088
CNN_seq14_aux_weight_1_3,weight_1_3,70,0.1,0.1538,0.956,0.0354,0.6678,4,87,22,2078,0.0286,0.987,0.009,0.6465,0.9498,0.0179,1,76,34,2081
CNN_seq14_aux_balanced,balanced,170,0.81,0.0769,0.96,0.027,0.5508,2,48,24,2117,0.0571,0.9744,0.018,0.4687,0.9503,0.0354,2,76,33,2081
CNN_seq14_aux_weight_1_5,weight_1_5,52,0.22,0.0385,0.9444,0.0233,0.6743,1,17,25,2148,0.0286,0.9655,0.0159,0.6532,0.9717,0.0312,1,28,34,2129
CNN_seq14_aux_weight_1_2,weight_1_2,55,0.04,0.2308,0.9753,0.0228,0.6778,6,237,20,1928,0.2,0.9714,0.0256,0.6471,0.8786,0.05,7,238,28,1919
